Churn,Contract,customerID,Dependents,DeviceProtection,gender,InternetService,MultipleLines,Sum of MonthlyCharges,Sum of numAdminTickets,Sum of numTechTickets,OnlineBackup,OnlineSecurity,PaperlessBilling,Partner,PaymentMethod,PhoneService,SeniorCitizen,StreamingTV,StreamingMovies,TechSupport,Sum of tenure,Sum of TotalCharges
No,Two year,0214-JHPFW,No,Yes,Female,DSL,No phone service,57.8,0,0,Yes,No,No,Yes,Bank transfer (automatic),No,No,Yes,Yes,Yes,70,4039.3
No,Two year,0224-NIJLP,Yes,No internet service,Male,No,No,20.15,5,0,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,8,165.5
No,Two year,0229-LFJAF,No,Yes,Male,DSL,Yes,69.65,1,0,Yes,Yes,No,No,Bank transfer (automatic),Yes,No,No,No,Yes,72,4908.25
No,Two year,0230-WEQUW,No,Yes,Male,DSL,No phone service,56.6,0,0,Yes,Yes,Yes,Yes,Bank transfer (automatic),No,No,Yes,No,Yes,66,3789.2
No,Two year,0238-WHBIQ,Yes,Yes,Male,DSL,Yes,89.7,0,0,Yes,Yes,No,Yes,Credit card (automatic),Yes,No,Yes,Yes,Yes,72,6339.3
No,Two year,0244-LGNFY,Yes,Yes,Female,DSL,Yes,92.65,0,0,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,72,6733
No,Two year,0248-PGHBZ,No,No,Female,Fiber optic,No,92.45,0,0,Yes,Yes,Yes,No,Bank transfer (automatic),Yes,Yes,Yes,No,Yes,67,6140.85
No,Two year,0253-ZTEOB,Yes,No,Female,DSL,Yes,79.65,0,0,Yes,No,No,Yes,Electronic check,Yes,No,Yes,Yes,Yes,48,3870.3
No,Two year,0254-FNMCI,No,Yes,Female,Fiber optic,No,109.9,0,0,Yes,Yes,Yes,No,Electronic check,Yes,No,Yes,Yes,Yes,72,7624.2
No,Two year,0263-FJTQO,Yes,No,Male,DSL,Yes,70.5,4,0,No,Yes,Yes,Yes,Credit card (automatic),Yes,No,Yes,No,Yes,50,3486.65
No,Two year,0264-CNITK,Yes,No internet service,Female,No,No,20.1,0,0,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,71,1389.6
No,Two year,0266-CLZKZ,Yes,Yes,Female,Fiber optic,Yes,105.65,0,0,No,No,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,67,6717.9
No,Two year,0266-GMEAO,Yes,Yes,Male,Fiber optic,Yes,114.3,0,0,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,Yes,Yes,Yes,72,8058.55
No,Two year,0270-THENM,Yes,Yes,Male,DSL,Yes,69.85,0,0,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,No,No,No,Yes,72,5102.35
No,Two year,0277-ORXQS,Yes,No,Male,DSL,No phone service,50.55,0,0,No,No,No,Yes,Bank transfer (automatic),No,No,Yes,Yes,Yes,66,3364.55
No,Two year,0281-CNTZX,No,No internet service,Male,No,No,19.95,0,0,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,63,1234.8
No,Two year,0298-XACET,Yes,Yes,Male,DSL,No phone service,50.2,0,2,Yes,No,No,Yes,Mailed check,No,No,Yes,No,Yes,52,2554
No,Two year,0301-FIDRB,Yes,Yes,Female,DSL,No phone service,63.8,0,0,Yes,Yes,Yes,Yes,Bank transfer (automatic),No,No,Yes,Yes,Yes,72,4684.3
No,Two year,0301-KOBTQ,No,No internet service,Male,No,No,20.05,0,0,No internet service,No internet service,Yes,No,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,32,614.45
No,Two year,0318-ZOPWS,No,No internet service,Female,No,No,20.15,0,0,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,49,973.35
No,Two year,0320-DWVTU,No,Yes,Female,Fiber optic,No,99.5,0,0,Yes,Yes,No,No,Mailed check,Yes,No,No,Yes,Yes,53,5424.25
No,Two year,0323-XWWTN,Yes,No internet service,Male,No,Yes,26.4,0,0,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,3,121.25
No,Two year,0336-KXKFK,No,Yes,Male,DSL,No phone service,61.2,2,0,No,Yes,Yes,No,Credit card (automatic),No,No,Yes,Yes,Yes,72,4390.25
No,Two year,0336-PIKEI,No,Yes,Male,DSL,No,74.4,0,0,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,Yes,Yes,No,Yes,72,5360.75
No,Two year,0343-QLUZP,No,Yes,Male,DSL,No phone service,39.6,0,0,Yes,Yes,No,No,Bank transfer (automatic),No,No,No,No,No,60,2424.5
No,Two year,0345-XMMUG,No,Yes,Female,Fiber optic,Yes,108.9,3,0,Yes,No,Yes,Yes,Credit card (automatic),Yes,No,Yes,Yes,Yes,46,4854.3
No,Two year,0354-VXMJC,Yes,No internet service,Male,No,No,19.6,0,0,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,23,426.65
No,Two year,0356-OBMAC,No,Yes,Female,Fiber optic,Yes,99.9,0,0,Yes,No,Yes,No,Bank transfer (automatic),Yes,Yes,Yes,No,Yes,56,5706.3
No,Two year,0361-HJRDX,No,Yes,Female,DSL,No phone service,64.35,3,0,Yes,Yes,No,No,Credit card (automatic),No,No,Yes,Yes,Yes,68,4539.6
No,Two year,0362-RAOQO,No,No internet service,Female,No,No,19.65,0,0,No internet service,No internet service,No,No,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,40,830.25
No,Two year,0363-SVHYR,Yes,Yes,Male,DSL,Yes,86.85,0,0,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,71,6263.8
No,Two year,0374-FIUCA,No,No internet service,Male,No,No,20.4,0,0,No internet service,No internet service,Yes,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,65,1414.45
No,Two year,0378-CJKPV,No,Yes,Female,Fiber optic,Yes,112.1,3,0,Yes,Yes,No,Yes,Credit card (automatic),Yes,No,Yes,Yes,Yes,72,7965.95
No,Two year,0379-DJQHR,Yes,Yes,Male,DSL,No,81.35,2,0,Yes,Yes,No,Yes,Credit card (automatic),Yes,No,Yes,Yes,No,67,5398.6
No,Two year,0383-CLDDA,No,Yes,Female,DSL,Yes,85.35,0,0,No,Yes,Yes,No,Credit card (automatic),Yes,No,Yes,Yes,Yes,69,5897.4
No,Two year,0386-CWRGM,Yes,No internet service,Female,No,No,19.4,0,0,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,46,967.85
No,Two year,0392-BZIUW,No,Yes,Female,Fiber optic,Yes,105,0,0,No,Yes,Yes,Yes,Credit card (automatic),Yes,No,Yes,Yes,No,72,7589.8
No,Two year,0394-YONDK,Yes,No internet service,Male,No,Yes,25.15,0,0,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,70,1790.15
No,Two year,0397-ZXWQF,No,No internet service,Male,No,No,20.5,1,0,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,67,1430.95
No,Two year,0401-WDBXM,Yes,Yes,Male,Fiber optic,Yes,105.55,0,0,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,No,72,7542.25
No,Two year,0402-OAMEN,Yes,No internet service,Female,No,Yes,24.45,0,0,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,72,1709.1
No,Two year,0404-AHASP,No,No internet service,Male,No,No,19.7,0,0,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,72,1421.9
No,Two year,0412-UCCNP,No,Yes,Male,DSL,No,59.2,0,0,No,Yes,Yes,No,Electronic check,Yes,No,No,No,Yes,55,3175.85
No,Two year,0420-TXVSG,No,Yes,Male,DSL,Yes,66.1,2,0,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,No,No,No,66,4428.45
No,Two year,0436-TWFFZ,No,Yes,Female,DSL,Yes,85.25,0,0,No,Yes,Yes,No,Mailed check,Yes,No,Yes,Yes,Yes,67,5714.2
No,Two year,0440-EKDCF,No,Yes,Male,DSL,No,60.15,0,0,Yes,No,Yes,Yes,Credit card (automatic),Yes,No,No,No,Yes,62,3753.2
No,Two year,0442-TDYUO,No,No internet service,Male,No,No,20.05,0,2,No internet service,No internet service,Yes,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,48,1036
No,Two year,0454-OKRCT,No,No,Male,Fiber optic,No,80.6,0,0,Yes,No,No,No,Bank transfer (automatic),Yes,No,No,No,Yes,33,2651.1
No,Two year,0455-ENTCR,No,No,Male,DSL,Yes,85.25,0,2,Yes,Yes,No,Yes,Electronic check,Yes,No,Yes,Yes,Yes,66,5538.35
No,Two year,0458-HEUZG,No,Yes,Female,DSL,No phone service,35.4,0,0,No,No,No,No,Mailed check,No,No,No,No,Yes,13,450.4
No,Two year,0459-SPZHJ,Yes,Yes,Male,DSL,Yes,83.5,0,2,Yes,Yes,No,Yes,Credit card (automatic),Yes,No,Yes,Yes,No,63,5435
No,Two year,0463-TXOAK,Yes,No internet service,Male,No,Yes,25.6,0,0,No internet service,No internet service,No,No,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,52,1334.5
No,Two year,0464-WJTKO,Yes,No internet service,Female,No,No,20.1,0,0,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,72,1460.85
No,Two year,0479-HMSWA,Yes,Yes,Female,Fiber optic,No,105.45,0,0,Yes,No,Yes,No,Electronic check,Yes,No,Yes,Yes,Yes,26,2715.3
No,Two year,0480-KYJVA,Yes,No internet service,Female,No,Yes,24.25,0,0,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,72,1784.5
No,Two year,0485-ZBSLN,Yes,No internet service,Male,No,Yes,24.75,0,0,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,65,1715.1
No,Two year,0486-LGCCH,Yes,No internet service,Male,No,No,19.65,0,0,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,11,225.75
No,Two year,0487-CRLZF,No,Yes,Female,DSL,No,74.45,0,0,No,No,Yes,No,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,49,3721.9
No,Two year,0505-SPOOW,No,No internet service,Female,No,No,19.8,0,0,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,70,1397.65
No,Two year,0506-YLVKJ,Yes,No internet service,Male,No,No,20.2,0,0,No internet service,No internet service,Yes,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,46,917.45
No,Two year,0508-SQWPL,Yes,No internet service,Female,No,No,20.1,0,3,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,57,1087.7
No,Two year,0513-RBGPE,Yes,Yes,Male,DSL,Yes,62.8,5,0,No,Yes,Yes,Yes,Credit card (automatic),Yes,No,No,No,Yes,37,2278.75
No,Two year,0526-SXDJP,No,Yes,Male,DSL,No phone service,42.1,0,0,Yes,Yes,No,Yes,Bank transfer (automatic),No,No,No,No,No,72,2962
No,Two year,0530-IJVDB,Yes,Yes,Male,Fiber optic,Yes,114.6,5,4,Yes,Yes,Yes,No,Electronic check,Yes,No,Yes,Yes,Yes,70,7882.5
No,Two year,0531-XBKMM,Yes,No,Male,DSL,Yes,65.7,0,0,Yes,Yes,No,No,Bank transfer (automatic),Yes,No,No,No,Yes,66,4378.9
No,Two year,0536-ACXIP,No,Yes,Female,Fiber optic,Yes,109.55,0,0,Yes,Yes,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,72,8165.1
No,Two year,0536-ESJEP,No,No,Male,DSL,No,74.55,0,0,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,No,54,4191.45
No,Two year,0556-FJEGU,No,Yes,Male,DSL,No,70.1,0,0,Yes,No,No,No,Bank transfer (automatic),Yes,No,Yes,No,Yes,58,4048.95
No,Two year,0559-CKHUS,No,No internet service,Female,No,No,19.55,0,0,No internet service,No internet service,Yes,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,29,521.8
No,Two year,0562-FGDCR,Yes,No,Female,DSL,Yes,74.55,0,0,Yes,Yes,No,Yes,Mailed check,Yes,No,Yes,No,Yes,72,5430.65
No,Two year,0562-HKHML,Yes,No internet service,Male,No,Yes,23.9,0,0,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,71,1626.4
No,Two year,0562-KBDVM,No,Yes,Female,DSL,No phone service,44.6,0,0,Yes,Yes,Yes,No,Bank transfer (automatic),No,No,No,No,Yes,70,3058.15
No,Two year,0567-XRHCU,Yes,Yes,Female,DSL,No phone service,43.95,0,0,No,Yes,Yes,Yes,Credit card (automatic),No,No,No,Yes,No,69,2960.1
No,Two year,0572-ZJKLT,Yes,Yes,Female,Fiber optic,Yes,99.65,0,0,No,Yes,No,Yes,Mailed check,Yes,No,No,Yes,Yes,46,4630.2
No,Two year,0582-AVCLN,No,No internet service,Female,No,No,20.3,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,38,743.05
No,Two year,0602-DDUML,No,Yes,Female,DSL,No,69.75,0,0,Yes,No,No,No,Mailed check,Yes,No,Yes,No,Yes,57,3894.4
No,Two year,0603-TPMIB,Yes,No internet service,Female,No,Yes,25.45,0,0,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,59,1534.05
No,Two year,0604-THJFP,Yes,No,Female,DSL,No,75.95,0,0,Yes,No,Yes,Yes,Credit card (automatic),Yes,No,Yes,Yes,Yes,59,4542.35
No,Two year,0608-JDVEC,No,No internet service,Male,No,No,19.8,2,0,No internet service,No internet service,No,Yes,Electronic check,Yes,No,No internet service,No internet service,No internet service,50,1013.2
No,Two year,0613-WUXUM,Yes,No internet service,Female,No,No,19.2,0,0,No internet service,No internet service,Yes,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,70,1401.4
No,Two year,0619-OLYUR,No,Yes,Male,Fiber optic,Yes,111.9,0,0,No,Yes,Yes,Yes,Credit card (automatic),Yes,No,Yes,Yes,Yes,72,8071.05
No,Two year,0621-CXBKL,No,No internet service,Female,No,No,18.7,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,53,1005.7
No,Two year,0621-JFHOL,No,No,Female,DSL,No phone service,29.6,0,0,No,No,Yes,No,Mailed check,No,No,No,No,Yes,10,299.05
No,Two year,0625-AFOHS,Yes,No internet service,Female,No,No,20.2,0,0,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,29,558.8
No,Two year,0626-QXNGV,No,No internet service,Female,No,Yes,24.15,0,5,No internet service,No internet service,Yes,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,72,1776.45
No,Two year,0640-YJTPY,Yes,No internet service,Male,No,No,21,0,0,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,72,1493.75
No,Two year,0665-XHDJU,No,No,Male,Fiber optic,Yes,99.4,0,0,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,72,7285.7
No,Two year,0674-GCDXG,No,Yes,Male,DSL,Yes,71.9,0,0,No,Yes,Yes,No,Bank transfer (automatic),Yes,No,No,Yes,Yes,63,4479.2
No,Two year,0675-NCDYU,Yes,Yes,Female,Fiber optic,Yes,116.4,0,0,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,Yes,Yes,Yes,72,8543.25
No,Two year,0678-RLHVP,No,Yes,Female,Fiber optic,Yes,105.55,0,0,Yes,No,No,No,Electronic check,Yes,No,Yes,Yes,No,53,5682.25
No,Two year,0704-VCUMB,No,No internet service,Female,No,No,20.25,0,0,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,61,1278.8
No,Two year,0707-HOVVN,No,Yes,Female,DSL,Yes,75.5,0,2,Yes,No,Yes,No,Bank transfer (automatic),Yes,Yes,Yes,No,Yes,70,5212.65
No,Two year,0716-BQNDX,No,No,Male,Fiber optic,Yes,93.75,0,0,No,Yes,No,No,Electronic check,Yes,Yes,No,Yes,Yes,57,5625.55
No,Two year,0727-BNRLG,No,Yes,Male,Fiber optic,Yes,97.65,0,0,Yes,No,Yes,No,Credit card (automatic),Yes,No,Yes,No,Yes,69,6743.55
No,Two year,0730-BGQGF,Yes,Yes,Male,DSL,Yes,90.3,0,0,Yes,Yes,No,Yes,Credit card (automatic),Yes,No,Yes,Yes,Yes,71,6287.3
No,Two year,0732-OCQOC,Yes,No internet service,Female,No,Yes,25.05,0,0,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,52,1270.25
No,Two year,0739-UUAJR,Yes,Yes,Female,DSL,No phone service,53.8,1,0,No,Yes,Yes,Yes,Credit card (automatic),No,No,Yes,Yes,No,72,3952.45
No,Two year,0742-LAFQK,No,Yes,Male,Fiber optic,Yes,99.15,0,0,Yes,Yes,Yes,Yes,Electronic check,Yes,No,No,Yes,No,72,7422.1
No,Two year,0744-BIKKF,No,Yes,Male,DSL,Yes,86.65,0,0,Yes,Yes,No,No,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,72,6224.8
No,Two year,0754-EEBDC,Yes,No internet service,Male,No,No,19.9,0,0,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,4,76.65
No,Two year,0757-WCUUZ,Yes,Yes,Male,DSL,Yes,63.35,0,0,No,No,No,Yes,Credit card (automatic),Yes,No,No,Yes,No,54,3409.1
No,Two year,0769-MURVM,Yes,Yes,Female,DSL,No phone service,65.7,3,0,Yes,Yes,No,Yes,Bank transfer (automatic),No,No,Yes,Yes,Yes,72,4575.35
No,Two year,0771-CHWSK,No,Yes,Male,DSL,Yes,74.6,0,0,Yes,Yes,Yes,No,Credit card (automatic),Yes,No,No,Yes,No,66,4798.4
No,Two year,0774-RMNUW,Yes,No,Female,DSL,No phone service,59.7,0,0,Yes,Yes,No,Yes,Bank transfer (automatic),No,No,Yes,Yes,Yes,71,4122.65
No,Two year,0780-XNZFN,No,No internet service,Male,No,No,20.65,0,4,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,57,1125.6
No,Two year,0784-ZQJZX,Yes,No internet service,Male,No,No,19.9,0,0,No internet service,No internet service,No,No,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,72,1529.65
No,Two year,0794-YVSGE,Yes,No internet service,Male,No,No,20.3,0,0,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,72,1401.15
No,Two year,0795-LAFGP,Yes,Yes,Male,DSL,Yes,90.4,0,0,Yes,Yes,No,Yes,Electronic check,Yes,No,Yes,Yes,Yes,71,6668.05
No,Two year,0795-XCCTE,No,No internet service,Male,No,Yes,25.4,0,0,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,Yes,No internet service,No internet service,No internet service,72,1809.35
No,Two year,0813-TAXXS,No,Yes,Male,DSL,Yes,77.8,4,0,No,No,Yes,No,Bank transfer (automatic),Yes,No,Yes,Yes,No,55,4323.35
No,Two year,0815-MFZGM,No,Yes,Female,Fiber optic,No,99,2,0,No,No,Yes,Yes,Credit card (automatic),Yes,No,Yes,Yes,Yes,42,4135
No,Two year,0825-CPPQH,No,No internet service,Female,No,No,19.1,0,0,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,71,1372.45
No,Two year,0827-ITJPH,No,No internet service,Male,No,No,18.55,0,0,No internet service,No internet service,Yes,No,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,36,689
No,Two year,0831-JNISG,Yes,No internet service,Male,No,No,19.8,0,3,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,71,1396.25
No,Two year,0835-JKADZ,No,Yes,Female,Fiber optic,Yes,111.25,0,0,Yes,No,Yes,No,Electronic check,Yes,No,Yes,Yes,Yes,71,7984.15
No,Two year,0839-JTCUD,Yes,Yes,Female,DSL,Yes,89.9,0,0,Yes,Yes,No,Yes,Credit card (automatic),Yes,No,Yes,Yes,Yes,66,5958.85
No,Two year,0839-QNXME,No,No internet service,Female,No,No,19.4,0,0,No internet service,No internet service,No,No,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,30,578.5
No,Two year,0847-HGRML,Yes,No internet service,Male,No,No,20,4,0,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,62,1250.1
No,Two year,0848-SOMKO,No,Yes,Male,DSL,No phone service,48.4,2,0,No,Yes,No,No,Bank transfer (automatic),No,No,No,Yes,Yes,70,3442.8
No,Two year,0853-TWRVK,No,Yes,Male,Fiber optic,Yes,105.6,0,0,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,No,No,Yes,Yes,72,7581.5
No,Two year,0854-UYHZD,Yes,No internet service,Female,No,No,19.55,0,0,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,13,265.3
No,Two year,0862-PRCBS,Yes,No,Female,Fiber optic,Yes,103.75,0,0,Yes,No,Yes,Yes,Credit card (automatic),Yes,No,Yes,Yes,Yes,68,7039.45
No,Two year,0868-VJRDR,No,No,Male,Fiber optic,No,104.05,0,0,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,Yes,Yes,Yes,64,6605.55
No,Two year,0885-HMGPY,No,Yes,Male,DSL,Yes,69.4,0,0,Yes,Yes,No,No,Bank transfer (automatic),Yes,No,No,No,Yes,62,4237.5
No,Two year,0895-UADGO,Yes,No,Male,DSL,No phone service,44.55,2,0,No,Yes,Yes,No,Mailed check,No,No,No,Yes,Yes,8,343.45
No,Two year,0902-XKXPN,Yes,No internet service,Male,No,No,20.2,1,0,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,69,1376.5
No,Two year,0906-QVPMS,No,Yes,Male,Fiber optic,Yes,115.15,4,0,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,72,8349.45
No,Two year,0907-HQNTS,No,Yes,Female,Fiber optic,Yes,113,3,0,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,Yes,Yes,Yes,Yes,70,7987.6
No,Two year,0909-SELIE,No,Yes,Male,DSL,Yes,80.8,0,0,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,No,Yes,Yes,61,4860.85
No,Two year,0916-KNFAJ,No,Yes,Male,DSL,Yes,69.9,0,0,No,Yes,Yes,Yes,Mailed check,Yes,No,No,Yes,No,61,4226.7
No,Two year,0932-YIXYU,No,No internet service,Female,No,No,20.25,0,0,No internet service,No internet service,No,No,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,47,1029.8
No,Two year,0936-NQLJU,No,No internet service,Female,No,No,20.65,0,0,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,41,875.55
No,Two year,0942-KOWSM,Yes,Yes,Female,DSL,No,80.8,0,0,Yes,No,No,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,30,2369.3
No,Two year,0945-TSONX,Yes,No,Female,DSL,Yes,85.3,0,0,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,Yes,Yes,Yes,47,4107.25
No,Two year,0960-HUWBM,Yes,Yes,Male,Fiber optic,Yes,104.1,0,0,No,No,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,65,6700.05
No,Two year,0962-CQPWQ,Yes,No internet service,Female,No,No,20.3,0,0,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,62,1296.15
No,Two year,0971-QIFJK,No,No internet service,Female,No,Yes,24.25,0,0,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,69,1641.8
No,Two year,0973-KYVNF,Yes,Yes,Female,DSL,No,70.65,0,0,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,Yes,No,No,72,5011.15
No,Two year,0979-MOZQI,No,No,Male,DSL,No phone service,39,5,0,No,No,Yes,Yes,Bank transfer (automatic),No,No,Yes,No,Yes,62,2337.45
No,Two year,0988-AADSA,Yes,Yes,Female,DSL,Yes,80.85,0,0,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,No,No,Yes,Yes,72,5824.75
No,Two year,1023-BQXZE,No,Yes,Male,DSL,No,74.35,0,0,No,Yes,Yes,No,Bank transfer (automatic),Yes,No,Yes,Yes,No,57,4317.35
No,Two year,1027-LKKQQ,Yes,Yes,Female,DSL,No,80.45,0,0,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,72,5886.85
No,Two year,1043-UXOVO,No,Yes,Female,Fiber optic,Yes,113.15,0,0,Yes,Yes,Yes,No,Credit card (automatic),Yes,No,Yes,Yes,Yes,71,7993.3
No,Two year,1047-RNXZV,No,No internet service,Male,No,No,19.55,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,43,876.15
No,Two year,1052-QJIBV,Yes,No internet service,Female,No,No,19.9,0,0,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,71,1397.3
No,Two year,1053-MXTTK,Yes,Yes,Female,Fiber optic,No,108.65,0,0,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,72,7726.35
No,Two year,1063-DHQJF,Yes,No,Male,Fiber optic,No,92.15,5,0,Yes,No,Yes,Yes,Mailed check,Yes,No,Yes,No,Yes,69,6480.9
No,Two year,1073-XXCZD,No,No internet service,Male,No,Yes,25.7,2,0,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,55,1443.65
No,Two year,1080-BWSYE,No,No internet service,Male,No,Yes,25.65,0,0,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,Yes,No internet service,No internet service,No internet service,64,1740.8
No,Two year,1084-MNSMJ,Yes,Yes,Female,DSL,No,85.5,0,0,Yes,Yes,No,Yes,Credit card (automatic),Yes,No,Yes,Yes,Yes,51,4421.95
No,Two year,1087-GRUYI,No,No internet service,Male,No,No,20.4,0,0,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,38,743.5
No,Two year,1088-AUUZZ,Yes,No,Male,DSL,Yes,75.85,0,0,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,No,Yes,Yes,56,4261.2
No,Two year,1089-XZWHH,Yes,No internet service,Female,No,No,19.7,2,1,No internet service,No internet service,Yes,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,24,494.05
No,Two year,1090-ESELR,Yes,No,Male,Fiber optic,No,105.5,2,0,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,72,7611.55
No,Two year,1092-WPIVQ,Yes,No internet service,Female,No,Yes,25.1,0,0,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,18,428.45
No,Two year,1093-YSWCA,No,No internet service,Male,No,No,19.55,0,1,No internet service,No internet service,No,No,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,11,223.15
No,Two year,1095-WGNGG,No,No,Female,Fiber optic,Yes,101.05,0,0,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,No,61,5971.25
